folds  boost       tp            fp          fn            precision           recall            f1
5        20        445.0        483.0        0.0        0.4795258620689655        1.0        0.6482155863073561
5        20        742.0        186.0        928.0        0.7995689655172413        0.444311377245509        0.5712086220169361

10        5        0.0        464.0        0.0        0.0        NaN        NaN
10        5        464.0        0.0        0.0        1.0        1.0        1.0
10        5        464.0        0.0        0.0        1.0        1.0        1.0
10        5        464.0        0.0        0.0        1.0        1.0        1.0
10        5        447.0        17.0        0.0        0.9633620689655172        1.0        0.981339187705818
10        5        353.0        111.0        0.0        0.7607758620689655        1.0        0.8641370869033047
10        5        464.0        0.0        0.0        1.0        1.0        1.0
10        5        464.0        0.0        0.0        1.0        1.0        1.0
